,index,prompt_file,type,prompt
0,0,0173.txt,Sentence,This argument has no conclusion.
1,1,0189.txt,Sentence,Her hair is droopy in the heat.
2,2,0033.txt,Sentence,He had respect for her kindness.
3,3,0482.txt,repeat sent.,repeat last sentence.
4,4,0365.txt,jabberwa,The erilory was in a slunt.
5,5,0177.txt,Sentence,The distinctive taste of the cereal did not please him.
6,6,0482.txt,repeat sent.,repeat last sentence.
7,7,0161.txt,Sentence,The motive was serious enough for him to deceive his friend. 
8,8,0325.txt,wordlist,Be are grazed subconscious the cat.
9,9,0185.txt,Sentence,She dangerously teetered on the broken chair.
10,10,0482.txt,repeat sent.,repeat last sentence.
11,11,0037.txt,Sentence,The hospital wanted to hire a new doctor. 
12,12,0077.txt,question,What did the hospital want to do?
13,13,0405.txt,non_word,Oot stesh comshugion metter losight outsharts.
14,14,0181.txt,Sentence,The only bird she could see was the parrot.
15,15,0482.txt,repeat sent.,repeat last sentence.
16,16,0165.txt,Sentence,The economy was in a slump.
17,17,0482.txt,repeat sent.,repeat last sentence.
18,18,0169.txt,Sentence,His dissertation was in the field of material sciences.
19,19,0193.txt,Sentence,His manliness and kindness made him irresistible.
20,20,0482.txt,repeat sent.,repeat last sentence.
21,21,0006.txt,Sentence,The worker had worked for many years as a professional.
22,22,0046.txt,question,How long did the worker work as a professional?
23,23,0482.txt,repeat sent.,repeat last sentence.
24,24,0366.txt,jabberwa,The lumberjoms neeps to hims a ney prohictional.
25,25,0162.txt,Sentence,"Unprejudiced and unaware, she went full throttle. "
26,26,0166.txt,Sentence,The lumberyard needs to hire a new a professional. 
27,27,0170.txt,Sentence,The art exhibition left many breathless.
28,28,0482.txt,repeat sent.,repeat last sentence.
29,29,0326.txt,wordlist,Nighttime jungle the nutritional breathless heat in of left.
30,30,0178.txt,Sentence,She tries to get a lot of nutritional value out of her food.
31,31,0182.txt,Sentence,A snowboarder got stuck on the mountain.
32,32,0482.txt,repeat sent.,repeat last sentence.
33,33,0194.txt,Sentence,The cat was feeling grumpy and scratched the chair.
34,34,0406.txt,non_word,Hims retationtrox burrok tha sevicion thi motarm fos.
35,35,0002.txt,Sentence,She was unaware of how oblivious he really was.
36,36,0042.txt,question,What was she unaware of?
37,37,0186.txt,Sentence,I was displeased with how outwardly angry he was. 
38,38,0174.txt,Sentence,The suspect attempted to run. 
39,39,0482.txt,repeat sent.,repeat last sentence.
40,40,0190.txt,Sentence,He liked to wash himself with bar soap more. 
41,41,0192.txt,Sentence,His clothes are often made of flannel. 
